borehole_id,profile_id,depth,temperature
244,18508,16.5,-1.266
244,18508,21.5,-1.188
244,18508,26.5,-0.688
244,18508,36.5,-0.188
244,18508,46.5,0.188
244,18508,56.5,0.438
244,18508,71.5,0.25
244,18508,81.5,0.68
244,18509,16.5,-1.258
244,18509,21.5,-1.18
244,18509,26.5,-0.695
244,18509,36.5,-0.195
244,18509,46.5,0.188
244,18509,56.5,0.438
244,18509,71.5,0.25
244,18509,81.5,0.688
244,18510,16.5,-1.258
244,18510,21.5,-1.195
244,18510,26.5,-0.688
244,18510,36.5,-0.188
244,18510,46.5,0.188
244,18510,56.5,0.438
244,18510,71.5,0.25
244,18510,81.5,0.688
244,18511,16.5,-1.258
244,18511,21.5,-1.188
244,18511,26.5,-0.68
244,18511,36.5,-0.188
244,18511,46.5,0.188
244,18511,56.5,0.438
244,18511,71.5,0.25
244,18511,81.5,0.688
244,18512,16.5,-1.266
244,18512,21.5,-1.18
244,18512,26.5,-0.688
244,18512,36.5,-0.195
244,18512,46.5,0.188
244,18512,56.5,0.438
244,18512,71.5,0.25
244,18512,81.5,0.68
244,18513,16.5,-1.266
244,18513,21.5,-1.188
244,18513,26.5,-0.688
244,18513,36.5,-0.195
244,18513,46.5,0.188
244,18513,56.5,0.438
244,18513,71.5,0.25
244,18513,81.5,0.68
244,18514,16.5,-1.273
244,18514,21.5,-1.188
244,18514,26.5,-0.688
244,18514,36.5,-0.203
244,18514,46.5,0.188
244,18514,56.5,0.438
244,18514,71.5,0.25
244,18514,81.5,0.688
244,18515,16.5,-1.273
244,18515,21.5,-1.188
244,18515,26.5,-0.688
244,18515,36.5,-0.203
244,18515,46.5,0.188
244,18515,56.5,0.438
244,18515,71.5,0.25
244,18515,81.5,0.688
244,18516,16.5,-1.273
244,18516,21.5,-1.188
244,18516,26.5,-0.688
244,18516,36.5,-0.195
244,18516,46.5,0.188
244,18516,56.5,0.438
244,18516,71.5,0.25
244,18516,81.5,0.688
244,18517,16.5,-1.266
244,18517,21.5,-1.18
244,18517,26.5,-0.688
244,18517,36.5,-0.203
244,18517,46.5,0.188
244,18517,56.5,0.438
244,18517,71.5,0.25
244,18517,81.5,0.688
244,18518,16.5,-1.273
244,18518,21.5,-1.188
244,18518,26.5,-0.695
244,18518,36.5,-0.188
244,18518,46.5,0.188
244,18518,56.5,0.438
244,18518,71.5,0.25
244,18518,81.5,0.68
244,18519,16.5,-1.25
244,18519,21.5,-1.188
244,18519,26.5,-0.688
244,18519,36.5,-0.195
244,18519,46.5,0.188
244,18519,56.5,0.438
244,18519,71.5,0.25
244,18519,81.5,0.68
244,18520,16.5,-1.258
244,18520,21.5,-1.188
244,18520,26.5,-0.695
244,18520,36.5,-0.203
244,18520,46.5,0.188
244,18520,56.5,0.438
244,18520,71.5,0.25
244,18520,81.5,0.68
244,18521,16.5,-1.289
244,18521,21.5,-1.18
244,18521,26.5,-0.688
244,18521,36.5,-0.203
244,18521,46.5,0.203
244,18521,56.5,0.43
244,18521,71.5,0.25
244,18521,81.5,0.688
244,18522,16.5,-1.273
244,18522,21.5,-1.188
244,18522,26.5,-0.695
244,18522,36.5,-0.195
244,18522,46.5,0.188
244,18522,56.5,0.438
244,18522,71.5,0.25
244,18522,81.5,0.68
244,18523,16.5,-1.289
244,18523,21.5,-1.188
244,18523,26.5,-0.688
244,18523,36.5,-0.203
244,18523,46.5,0.188
244,18523,56.5,0.43
244,18523,71.5,0.25
244,18523,81.5,0.688
244,18524,16.5,-1.273
244,18524,21.5,-1.188
244,18524,26.5,-0.688
244,18524,36.5,-0.211
244,18524,46.5,0.195
244,18524,56.5,0.438
244,18524,71.5,0.25
244,18524,81.5,0.688
244,18525,16.5,-1.273
244,18525,21.5,-1.188
244,18525,26.5,-0.688
244,18525,36.5,-0.195
244,18525,46.5,0.188
244,18525,56.5,0.438
244,18525,71.5,0.258
244,18525,81.5,0.68
244,18526,16.5,-1.273
244,18526,21.5,-1.188
244,18526,26.5,-0.688
244,18526,36.5,-0.203
244,18526,46.5,0.18
244,18526,56.5,0.438
244,18526,71.5,0.25
244,18526,81.5,0.688
244,18527,16.5,-1.281
244,18527,21.5,-1.188
244,18527,26.5,-0.688
244,18527,36.5,-0.211
244,18527,46.5,0.188
244,18527,56.5,0.438
244,18527,71.5,0.25
244,18527,81.5,0.68
244,18528,16.5,-1.273
244,18528,21.5,-1.188
244,18528,26.5,-0.688
244,18528,36.5,-0.203
244,18528,46.5,0.188
244,18528,56.5,0.438
244,18528,71.5,0.25
244,18528,81.5,0.68
244,18529,16.5,-1.273
244,18529,21.5,-1.188
244,18529,26.5,-0.688
244,18529,36.5,-0.211
244,18529,46.5,0.195
244,18529,56.5,0.438
244,18529,71.5,0.25
244,18529,81.5,0.688
244,18530,16.5,-1.281
244,18530,21.5,-1.188
244,18530,26.5,-0.688
244,18530,36.5,-0.195
244,18530,46.5,0.203
244,18530,56.5,0.438
244,18530,71.5,0.25
244,18530,81.5,0.68
244,18531,16.5,-1.281
244,18531,21.5,-1.188
244,18531,26.5,-0.688
244,18531,36.5,-0.211
244,18531,46.5,0.195
244,18531,56.5,0.438
244,18531,71.5,0.25
244,18531,81.5,0.68
244,18532,16.5,-1.281
244,18532,21.5,-1.188
244,18532,26.5,-0.688
244,18532,36.5,-0.219
244,18532,46.5,0.188
244,18532,56.5,0.438
244,18532,71.5,0.25
244,18532,81.5,0.68
244,18533,16.5,-1.281
244,18533,21.5,-1.195
244,18533,26.5,-0.695
244,18533,36.5,-0.219
244,18533,46.5,0.188
244,18533,56.5,0.438
244,18533,71.5,0.25
244,18533,81.5,0.688
244,18534,16.5,-1.281
244,18534,21.5,-1.188
244,18534,26.5,-0.695
244,18534,36.5,-0.234
244,18534,46.5,0.188
244,18534,56.5,0.438
244,18534,71.5,0.25
244,18534,81.5,0.688
244,18535,16.5,-1.289
244,18535,21.5,-1.188
