borehole_id,profile_id,depth,temperature
155,1,5.0,0.029
155,1,15.0,-0.014
155,1,25.0,0.013
155,1,35.0,0.009
155,1,37.5,0.0
155,1,40.0,0.024
155,1,43.0,0.033
155,1,44.0,0.007
155,1,45.0,0.017
155,2,5.0,0.018
155,2,15.0,-0.003
155,2,25.0,0.013
155,2,35.0,0.009
155,2,37.5,0.0
155,2,40.0,0.024
155,2,43.0,0.033
155,2,44.0,0.006
155,2,45.0,0.017
155,3,5.0,0.018
155,3,15.0,-0.003
155,3,25.0,0.013
155,3,35.0,0.014
155,3,37.5,0.0
155,3,40.0,0.024
155,3,43.0,0.033
155,3,44.0,0.006
155,3,45.0,0.017
155,4,5.0,0.027
155,4,15.0,-0.011
155,4,25.0,0.005
155,4,35.0,0.018
155,4,37.5,0.003
155,4,40.0,0.024
155,4,43.0,0.025
155,4,44.0,-0.002
155,4,45.0,0.015
155,5,5.0,0.028
155,5,15.0,-0.015
155,5,25.0,0.018
155,5,35.0,0.019
155,5,37.5,0.005
155,5,40.0,0.023
155,5,43.0,0.021
155,5,44.0,0.0
155,5,45.0,0.016
155,6,5.0,0.028
155,6,15.0,-0.015
155,6,25.0,0.001
155,6,35.0,0.019
155,6,37.5,-0.001
155,6,40.0,0.023
155,6,43.0,0.021
155,6,44.0,-0.005
155,6,45.0,0.016
155,7,5.0,0.028
155,7,15.0,-0.015
155,7,25.0,0.002
155,7,35.0,0.019
155,7,37.5,0.005
155,7,40.0,0.023
155,7,43.0,0.021
155,7,44.0,-0.005
155,7,45.0,0.016
155,8,5.0,0.028
155,8,15.0,-0.015
155,8,25.0,0.023
155,8,35.0,0.019
155,8,37.5,0.01
155,8,40.0,0.034
155,8,43.0,0.043
155,8,44.0,0.006
155,8,45.0,0.027
155,9,5.0,0.027
155,9,15.0,-0.007
155,9,25.0,0.022
155,9,35.0,0.018
155,9,37.5,0.009
155,9,40.0,0.033
155,9,43.0,0.042
155,9,44.0,0.004
155,9,45.0,0.026
155,10,5.0,0.025
155,10,15.0,-0.007
155,10,25.0,0.019
155,10,35.0,0.015
155,10,37.5,0.005
155,10,40.0,0.029
155,10,43.0,0.038
155,10,44.0,0.012
155,10,45.0,0.022
155,11,5.0,0.027
155,11,15.0,-0.006
155,11,25.0,0.021
155,11,35.0,0.017
155,11,37.5,0.007
155,11,40.0,0.032
155,11,43.0,0.04
155,11,44.0,0.012
155,11,45.0,0.025
155,12,5.0,0.024
155,12,15.0,-0.002
155,12,25.0,0.019
155,12,35.0,0.015
155,12,37.5,0.006
155,12,40.0,0.03
155,12,43.0,0.039
155,12,44.0,0.004
155,12,45.0,0.023
155,13,5.0,0.019
155,13,15.0,-0.002
155,13,25.0,0.014
155,13,35.0,0.01
155,13,37.5,0.0
155,13,40.0,0.025
155,13,43.0,0.033
155,13,44.0,0.007
155,13,45.0,0.018
155,14,5.0,0.017
155,14,15.0,-0.004
155,14,25.0,0.012
155,14,35.0,0.008
155,14,37.5,-0.002
155,14,40.0,0.023
155,14,43.0,0.031
155,14,44.0,0.005
155,14,45.0,0.016
155,15,5.0,0.006
155,15,15.0,-0.014
155,15,25.0,-0.001
155,15,35.0,0.001
155,15,37.5,-0.008
155,15,40.0,0.012
155,15,43.0,0.019
155,15,44.0,-0.008
155,15,45.0,0.005
155,16,5.0,-0.004
155,16,15.0,-0.014
155,16,25.0,-0.009
155,16,35.0,-0.002
155,16,37.5,-0.013
155,16,40.0,0.007
155,16,43.0,0.011
155,16,44.0,-0.016
155,16,45.0,-0.005
155,17,5.0,0.001
155,17,15.0,-0.013
155,17,25.0,-0.008
155,17,35.0,-0.001
155,17,37.5,-0.012
155,17,40.0,0.014
155,17,43.0,0.012
155,17,44.0,-0.017
155,17,45.0,-0.0
155,18,5.0,0.005
155,18,15.0,-0.011
155,18,25.0,-0.004
155,18,35.0,0.001
155,18,37.5,-0.017
155,18,40.0,0.015
155,18,43.0,0.006
155,18,44.0,-0.019
155,18,45.0,-0.0
155,19,5.0,-0.002
155,19,15.0,-0.005
155,19,25.0,-0.01
155,19,35.0,-0.006
155,19,37.5,-0.011
155,19,40.0,0.004
155,19,43.0,0.01
155,19,44.0,-0.016
155,19,45.0,0.001
155,20,5.0,0.002
155,20,15.0,-0.005
155,20,25.0,-0.006
155,20,35.0,0.001
155,20,37.5,-0.009
155,20,40.0,0.01
155,20,43.0,0.014
155,20,44.0,-0.012
155,20,45.0,0.004
155,21,5.0,0.042
155,21,15.0,-0.009
155,21,25.0,0.027
155,21,35.0,0.028
155,21,37.5,0.012
155,21,40.0,0.038
