borehole_id,profile_id,depth,temperature
766,1,0.4,-21.52
766,1,0.9,-16.35
766,1,1.4,-12.71
766,1,1.9,-9.69
766,1,2.4,-8.34
766,1,2.9,-5.518
766,1,3.4,-5.45
766,1,3.9,-4.974
766,1,4.4,-4.365
766,1,4.9,-3.626
766,1,5.4,-3.14
766,1,7.4,-1.773
766,1,11.4,-1.269
766,1,17.4,-1.53
766,1,17.9,-1.552
766,2,0.4,-21.62
766,2,0.9,-16.35
766,2,1.4,-12.69
766,2,1.9,-9.67
766,2,2.4,-8.32
766,2,2.9,-5.51
766,2,3.4,-5.442
766,2,3.9,-4.985
766,2,4.4,-4.365
766,2,4.9,-3.63
766,2,5.4,-3.147
766,2,7.4,-1.777
766,2,11.4,-1.273
766,2,17.4,-1.534
766,2,17.9,-1.555
766,3,0.4,-21.69
766,3,0.9,-16.33
766,3,1.4,-12.65
766,3,1.9,-9.6
766,3,2.4,-8.29
766,3,2.9,-5.458
766,3,3.4,-5.435
766,3,3.9,-4.978
766,3,4.4,-4.366
766,3,4.9,-3.634
766,3,5.4,-3.141
766,3,7.4,-1.774
766,3,11.4,-1.273
766,3,17.4,-1.535
766,3,17.9,-1.556
766,4,0.4,-21.76
766,4,0.9,-16.31
766,4,1.4,-12.63
766,4,1.9,-9.58
766,4,2.4,-8.28
766,4,2.9,-5.488
766,4,3.4,-5.427
766,4,3.9,-4.982
766,4,4.4,-4.366
766,4,4.9,-3.637
766,4,5.4,-3.144
766,4,7.4,-1.777
766,4,11.4,-1.273
766,4,17.4,-1.535
766,4,17.9,-1.556
766,5,0.4,-21.82
766,5,0.9,-16.27
766,5,1.4,-12.52
766,5,1.9,-9.41
766,5,2.4,-8.19
766,5,2.9,-5.366
766,5,3.4,-5.438
766,5,3.9,-4.953
766,5,4.4,-4.334
766,5,4.9,-3.63
766,5,5.4,-3.134
766,5,7.4,-1.777
766,5,11.4,-1.273
766,5,17.4,-1.535
766,5,17.9,-1.556
766,6,0.4,-21.86
766,6,0.9,-16.23
766,6,1.4,-12.45
766,6,1.9,-9.35
766,6,2.4,-8.14
766,6,2.9,-5.333
