borehole_id,profile_id,depth,temperature
845,1,0.5,-20.02
845,1,4.5,-4.768
845,1,10.5,-0.793
845,1,18.5,-2.584
845,2,0.51,-19.16
845,2,4.51,-4.395
845,2,10.51,-0.542
845,2,18.51,-1.301
845,3,0.52,-18.53
845,3,4.52,-4.159
845,3,10.52,-0.405
845,3,18.52,-0.726
845,4,0.53,-18.05
845,4,4.53,-4.002
845,4,10.53,-0.327
845,4,18.53,-0.442
845,5,0.53,-17.67
845,5,4.53,-3.867
845,5,10.53,-0.257
845,5,18.53,-0.29
845,6,0.53,-17.37
845,6,4.53,-3.795
845,6,10.53,-0.218
845,6,18.53,-0.206
845,7,0.53,-17.11
845,7,4.53,-3.726
845,7,10.53,-0.179
845,7,18.53,-0.149
845,8,0.53,-16.89
845,8,4.53,-3.64
845,8,10.53,-0.152
845,8,18.53,-0.113
845,9,0.53,-16.71
845,9,4.53,-3.602
845,9,10.53,-0.134
845,9,18.53,-0.089
845,10,0.53,-16.55
845,10,4.53,-3.544
845,10,10.53,-0.128
845,10,18.53,-0.074
845,11,0.53,-16.41
845,11,4.53,-3.469
845,11,10.53,-0.119
845,11,18.53,-0.062
845,12,0.53,-16.3
845,12,4.53,-3.421
845,12,10.53,-0.116
845,12,18.53,-0.053
845,13,0.53,-16.19
845,13,4.53,-3.421
845,13,10.53,-0.101
845,13,18.53,-0.044
845,14,0.54,-16.09
845,14,4.54,-3.347
845,14,10.54,-0.089
845,14,18.54,-0.038
845,15,0.54,-16.01
845,15,4.54,-3.32
845,15,10.54,-0.089
845,15,18.54,-0.038
845,16,0.54,-15.93
845,16,4.54,-3.293
845,16,10.54,-0.083
845,16,18.54,-0.029
845,17,0.54,-15.86
845,17,4.54,-3.259
845,17,10.54,-0.08
845,17,18.54,-0.029
845,18,0.54,-15.8
845,18,4.54,-3.266
845,18,10.54,-0.071
845,18,18.54,-0.026
845,19,0.54,-15.75
845,19,4.54,-3.286
845,19,10.54,-0.062
845,19,18.54,-0.023
845,20,0.54,-15.69
845,20,4.54,-3.266
845,20,10.54,-0.053
845,20,18.54,-0.023
845,21,0.54,-15.64
845,21,4.54,-3.215
845,21,10.54,-0.056
845,21,18.54,-0.02
845,22,0.54,-15.6
845,22,4.54,-3.239
845,22,10.54,-0.056
845,22,18.54,-0.017
845,23,0.54,-15.56
845,23,4.54,-3.235
845,23,10.54,-0.05
845,23,18.54,-0.017
845,24,0.54,-15.52
845,24,4.54,-3.205
845,24,10.54,-0.05
845,24,18.54,-0.017
845,25,0.54,-15.49
845,25,4.54,-3.205
845,25,10.54,-0.044
845,25,18.54,-0.014
845,26,0.54,-15.46
845,26,4.54,-3.154
845,26,10.54,-0.051
845,26,18.54,-0.018
845,27,0.54,-15.43
845,27,4.54,-3.124
845,27,10.54,-0.048
845,27,18.54,-0.018
845,28,0.53,-15.4
845,28,4.53,-3.118
845,28,10.53,-0.058
845,28,18.53,-0.022
845,29,0.54,-15.38
845,29,4.54,-3.109
845,29,10.54,-0.06
845,29,18.54,-0.024
845,30,0.54,-15.35
845,30,4.54,-3.099
845,30,10.54,-0.069
845,30,18.54,-0.028
845,31,0.54,-15.33
845,31,4.54,-3.055
845,31,10.54,-0.067
845,31,18.54,-0.028
845,32,0.54,-15.31
845,32,4.54,-3.056
845,32,10.54,-0.073
845,32,18.54,-0.028
845,33,0.54,-15.28
845,33,4.54,-3.063
845,33,10.54,-0.061
845,33,18.54,-0.026
845,34,0.54,-15.27
845,34,4.54,-3.049
845,34,10.54,-0.061
845,34,18.54,-0.028
845,35,0.54,-15.25
