borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrated,notes
845,1,kronenberg2022b,published,2018-02-01,2018-02-01,21:00:00,,,
845,2,kronenberg2022b,published,2018-02-01,2018-02-01,21:30:00,,,
845,3,kronenberg2022b,published,2018-02-01,2018-02-01,22:00:00,,,
845,4,kronenberg2022b,published,2018-02-01,2018-02-01,22:30:00,,,
845,5,kronenberg2022b,published,2018-02-01,2018-02-01,23:00:00,,,
845,6,kronenberg2022b,published,2018-02-01,2018-02-01,23:30:00,,,
845,7,kronenberg2022b,published,2018-02-02,2018-02-02,00:00:00,,,
845,8,kronenberg2022b,published,2018-02-02,2018-02-02,00:30:00,,,
845,9,kronenberg2022b,published,2018-02-02,2018-02-02,01:00:00,,,
845,10,kronenberg2022b,published,2018-02-02,2018-02-02,01:30:00,,,
845,11,kronenberg2022b,published,2018-02-02,2018-02-02,02:00:00,,,
845,12,kronenberg2022b,published,2018-02-02,2018-02-02,02:30:00,,,
845,13,kronenberg2022b,published,2018-02-02,2018-02-02,03:00:00,,,
845,14,kronenberg2022b,published,2018-02-02,2018-02-02,03:30:00,,,
845,15,kronenberg2022b,published,2018-02-02,2018-02-02,04:00:00,,,
845,16,kronenberg2022b,published,2018-02-02,2018-02-02,04:30:00,,,
845,17,kronenberg2022b,published,2018-02-02,2018-02-02,05:00:00,,,
845,18,kronenberg2022b,published,2018-02-02,2018-02-02,05:30:00,,,
845,19,kronenberg2022b,published,2018-02-02,2018-02-02,06:00:00,,,
845,20,kronenberg2022b,published,2018-02-02,2018-02-02,06:30:00,,,
845,21,kronenberg2022b,published,2018-02-02,2018-02-02,07:00:00,,,
845,22,kronenberg2022b,published,2018-02-02,2018-02-02,07:30:00,,,
845,23,kronenberg2022b,published,2018-02-02,2018-02-02,08:00:00,,,
845,24,kronenberg2022b,published,2018-02-02,2018-02-02,08:30:00,,,
845,25,kronenberg2022b,published,2018-02-02,2018-02-02,09:00:00,,,
845,26,kronenberg2022b,published,2018-02-02,2018-02-02,09:30:00,,,
845,27,kronenberg2022b,published,2018-02-02,2018-02-02,10:00:00,,,
845,28,kronenberg2022b,published,2018-02-02,2018-02-02,10:30:00,,,
845,29,kronenberg2022b,published,2018-02-02,2018-02-02,11:00:00,,,
845,30,kronenberg2022b,published,2018-02-02,2018-02-02,11:30:00,,,
845,31,kronenberg2022b,published,2018-02-02,2018-02-02,12:00:00,,,
845,32,kronenberg2022b,published,2018-02-02,2018-02-02,12:30:00,,,
845,33,kronenberg2022b,published,2018-02-02,2018-02-02,13:00:00,,,
845,34,kronenberg2022b,published,2018-02-02,2018-02-02,13:30:00,,,
845,35,kronenberg2022b,published,2018-02-02,2018-02-02,14:00:00,,,
845,36,kronenberg2022b,published,2018-02-02,2018-02-02,14:30:00,,,
845,37,kronenberg2022b,published,2018-02-02,2018-02-02,15:00:00,,,
845,38,kronenberg2022b,published,2018-02-02,2018-02-02,15:30:00,,,
845,39,kronenberg2022b,published,2018-02-02,2018-02-02,16:00:00,,,
845,40,kronenberg2022b,published,2018-02-02,2018-02-02,16:30:00,,,
845,41,kronenberg2022b,published,2018-02-02,2018-02-02,17:00:00,,,
845,42,kronenberg2022b,published,2018-02-02,2018-02-02,17:30:00,,,
845,43,kronenberg2022b,published,2018-02-02,2018-02-02,18:00:00,,,
