borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrium,notes
1,1,haeberli1991,published,1977-08-21,1977-08-21,,,true,label: CG77-1/77 in gastaldello2024 | equilibrium: Measured 25 hours after the installation of the thermistor chain. Thermal disturbance from mechanical drilling and snow filling dissipate within 24 hours (haeberli1991) | Measurements at 30 and 40 m depth not reported
2,1,blatter1984,digitized-continuous,1979-01-01,1979-12-31,,,true,
3,1,blatter1984,digitized-continuous,1980-01-01,1980-12-31,,,true,
4,1,blatter1985,published,1979-07-13,1979-08-13,,,true,
5,1,blatter1985,published,1980-05-20,1980-06-20,,,true,
6,1,blatter1985,published,1979-07-23,1979-08-23,,,true,Temperatures at 15 m depth average of two thermistors (difference 0.3 °C)
7,1,gilbert2010,digitized-discrete,1999-06-04,1999-06-05,,,true,Temperatures were measured several times on 1999-06-04 and 1999-06-05 and chain was shifted upwards to increase measurement density
8,1,gilbert2013,digitized-discrete,1999-01-01,1999-12-31,,,true,equilibrium: Measurements repeated several times until within ± 0.05 °C
9,1,gilbert2013,digitized-discrete,2011-01-01,2011-12-31,,,true,equilibrium: Measurements repeated several times until within ± 0.05 °C
10,1,gilbert2013,digitized-discrete,1994-06-01,1994-06-30,,,true,"date_min/date_max: vincent2007 | equilibrium: Within ± 0.05 °C after 3 days (vincent2007, gilbert2013)"
11,1,gilbert2013,digitized-discrete,2005-01-01,2005-04-30,,,true,date_min/date_max: vincent2007 | equilibrium: Within ± 0.06 °C after 5 days and still after 6 months in 2005-04 (vincent2007)
12,1,gilbert2013,digitized-discrete,2010-01-01,2010-12-31,,,true,equilibrium: Within ± 0.05 °C in several measurements for 6 months after drilling (vincent2020)
13,1,gilbert2013,digitized-discrete,1999-01-01,1999-12-31,,,true,equilibrium: Measurements repeated several times until within ± 0.05 °C
14,1,gilbert2013,digitized-discrete,2011-01-01,2011-12-31,,,true,equilibrium: Measurements repeated several times until within ± 0.05 °C
15,1,laternser1992,published,1991-08-03,1991-08-08,,,estimated,label: CG91-B/91 in hoelzle2011 (depsite the date of 1991-10-26 in Table 1)
15,2,laternser1992,published,1991-10-26,1991-10-26,,,true,
16,1,hoelzle2014,published,2007-11-04,2007-11-04,,,estimated,label: B07-1 | equilibrium: Achieved by extrapolation (hoelzle2011)
16,2,darms2009,published,2008-08-27,2008-08-27,,,true,label: B08-9 | measurement_origin: Also published in hoelzle2014 (Table 6.2)
17,1,laternser1992,published,1991-08-04,1991-08-09,,,estimated,
