id,author,year,type,title,url,language,container_title,volume,issue,page,version,editor,collection_title,collection_number,publisher
abermann2020,Jakob Abermann | Jakob F. Steiner | Rainer Prinz | Matthias Wecht | Peter Lisager,2020,article-journal,"The Red Rock ice cliff revisited – six decades of frontal, mass and area changes in the Nunatarssuaq area, northwest Greenland",https://doi.org/10.1017/jog.2020.28,en,Journal of Glaciology,66,258,567-576,,,,,
agassiz1847,Louis Agassiz,1847,chapter,De la température de l'intérieur du glacier [From the temperature of the interior of the glacier],https://gallica.bnf.fr/ark:/12148/bpt6k97697182/f454.item,fr,"Nouvelles études et expériences sur les glaciers actuels: leur structure, leur progression et leurs actions physiques sur le sol [New studies and experiments on current glaciers: their structure, their progression and their physical actions on the ground]",,,419-434,,,,,Victor Masson
aizen2001,Vladimir Aizen | Donald Bren | Karl Kreutz | Cameron Wake,2001,report,Paleo-climate and glaciological reconstruction in Central Asia through the collection and analysis of ice cores and instrumental data from the Tien Shan,https://doi.org/10.2172/794067,en,,,,,,,,,Regents of The University of California Santa Barbara (US)
an2016,W. An | S. Hou | W. Zhang | Y. Wang | Y. Liu | S. Wu | H. Pang,2016,article-journal,Significant recent warming over the northern Tibetan Plateau from ice core δ18O records,https://doi.org/10.5194/cp-12-201-2016,en,Climate of the Past,12,2,201-211,,,,,
aristarain1981,A. J. Aristarain | R. Delmas,1981,article-journal,"First glaciological studies on the James Ross Island Ice Cap, Antarctic Peninsula",https://doi.org/10.3189/S0022143000011412,en,Journal of Glaciology,27,97,371-379,,,,,
arkhipov2004,С. М. Архипов [S. M. Arkhipov] | В. Н. Михаленко [V. N. Mikhalenko] | М. Г. Кунахович [M. G. Kunakhovich] | А. Н. Диких [A. N. Dikikh] | О. В. Нагорнов [O. V. Nagornov],2004,article-journal,"Термический режим, условия льдообразования и аккумуляция на леднике Григорьева (Тянь Шань) в 1962–2001 гг [Thermal regime, conditions of ice formation and accumulation on Grigoriev Glacier (Tien Shan) in 1962–2001]",http://geolibrary.ru/sites/default/files/2021-01/96.pdf#page=78,ru,Материалы Гляциологических Исследований [Data of Glaciological Studies],96,,77-83,,,,,
barandun2023,Martina Barandun (0000-0003-1820-7600),2023,personal-communication,,,en,,,,,,,,,
baranowski1975,Stanisław Baranowski,1975,chapter,Glaciological investigations and glaciomorphological observations made in 1970 on Werenskiold Glacier and in its forefield,,en,Results of investigations of the Polish Scientific Spitsbergen Expeditions 1970-1974,1,,69-94,,Stanisław Baranowski | Alfred Jahn,Acta Universitatis Wratislaviensis,251,
barbash1981,В. Р. Барбаш [V. R. Barbash] | Л. С. Говоруха [L. S. Govorukha] | И. А. Зотиков [I. A. Zotikov],1981,chapter,О температурном состоянии толщи купола Вавилова [On the temperature state of the thickness of the Vavilov Ice Cap],,ru,Исследования ледникового покрова и перигляциала Северной Земли [Studies of the ice cover and periglacial of Severnaya Zemlya],,,54-57,,,Труды ААНИИ [Proceedings of AARI],367,Арктического и Антарктического Научно-Исследовательского Института [Arctic and Antarctic Research Institute]
barkov1988,Н. И. Барков [N. I. Barkov] | К. В. Блинов [K. V. Blinov] | М. С. Бугорков [M. S. Bugorkov] | Д. Н. Дмитриев [D. N. Dmitriev],1988,chapter,Геофизические исследования в скважине глубиной 460 м на Леднике Вавилова (Северная Земля) [Geophysical research in a well 460 m deep on the Vavilov Glacier (Severnaya Zemlya)],,ru,Географические и гляциологические в полярных странах [Geographical and glaciological studies in polar countries],,,14-24,,,,,Гидрометеоиздат
bjornsson1996,Helgi Björnsson | Yngvar Gjessing | Svein-Erik Hamran | Jon Ove Hagen | Olav LiestøL | Finnur Pálsson | Björn Erlingsson,1996,article-journal,The thermal regime of sub-polar glaciers mapped by multi-frequency radio-echo sounding,https://doi.org/10.3189/S0022143000030495,en,Journal of Glaciology,42,140,23-32,,,,,
blatter1984,Heinz Blatter | Wilfried Haeberli,1984,article-journal,Modelling temperature distribution in Alpine glaciers,https://doi.org/10.3189/1984AoG5-1-18-22,en,Annals of Glaciology,5,,18-22,,,,,
blatter1985,Heinz Blatter,1985,report,"On the thermal regime of Arctic glaciers: A study of the White Glacier, Axel Heiberg Island, and the Laika Glacier, Coburg Island, Canadian Arctic Archipelago",,en,,,,,,,Zürcher Geographisches Schriften,22,Eidgenössische Technische Hochschule (ETH) Zürich > Geographisches Institut
blatter1987,Heinz Blatter,1987,article-journal,"On the thermal regime of an Arctic valley glacier: A study of White Glacier, Axel Heiberg Island, N.W.T., Canada",https://doi.org/10.3189/S0022143000008704,en,Journal of Glaciology,33,114,200-211,,,,,
blatter1988,Heinz Blatter | Giovanni Kappenberger,1988,article-journal,"Mass balance and thermal regime of Laika Ice Cap, Coburg Island, N.W.T., Canada",https://doi.org/10.3189/S0022143000009126,en,Journal of Glaciology,34,116,102-110,,,,,
carturan2023,Luca Carturan | Fabrizio De Blasi | Roberto Dinale | Gianfranco Dragà | Paolo Gabrielli | Volkmar Mair | Roberto Seppi | David Tonidandel | Thomas Zanoner | Tiziana Lazzarina Zendrini | Giancarlo Dalla Fontana,2023,dataset,"Data from air, englacial and permafrost temperature measurements on Mt. Ortles (eastern European Alps)",https://doi.org/10.5281/ZENODO.8330289,en,,,,,2.0,,,,Zenodo
carturan2023a,Luca Carturan | Fabrizio De Blasi | Roberto Dinale | Gianfranco Dragà | Paolo Gabrielli | Volkmar Mair | Roberto Seppi | David Tonidandel | Thomas Zanoner | Tiziana Lazzarina Zendrini | Giancarlo Dalla Fontana,2023,article-journal,"Modern air, englacial and permafrost temperatures at high altitude on Mt Ortles (3905 m a.s.l.), in the eastern European Alps",https://doi.org/10.5194/essd-15-4661-2023,en,Earth System Science Data,15,10,4661-4688,,,,,Copernicus GmbH
chernov2015,Р. А. Чернов [R. A. Chernov] | Т. В. Васильева [T. V. Vasilyeva] | А. В. Кудиков [A. V. Kudikov],2015,article-journal,Температурный режим поверхностного слоя ледника Восточный Грёнфьорд (Западный Шпицберген) [Temperature regime of upper layer of the glacier East Grönfjordbreen (West Svalbard)],https://doi.org/10.15356/2076-6734-2015-3-38-46,ru,Лёд и Снег [Ice and Snow],131,3,38,,,,,
clarke1976,Garry K. C. Clarke | Gary T. Jarvis,1976,article-journal,"Post-surge temperatures in Steele Glacier, Yukon Territory, Canada",https://doi.org/10.3189/S0022143000031580,en,Journal of Glaciology,16,74,261-268,,,,,
clarke1984,Garry K. C. Clarke | Sam G. Collins | David E. Thompson,1984,article-journal,"Flow, thermal structure, and subglacial conditions of a surge-type glacier",https://doi.org/10.1139/e84-024,en,Canadian Journal of Earth Sciences,21,2,232-240,,,,,
clarke1987,Garry K. C. Clarke | David A. Fischer | Edwin D. Waddington,1987,paper-conference,Wind pumping: A potentially significant heat source in ice sheets,https://iahs.info/uploads/dms/7236.169-180-170-Clarke.pdf,en,"The Physical Basis of Ice Sheet Modelling (Proceedings of the Vancouver Symposium, August 1987)",,,169-180,,,,,International Association of Scientific Hydrology
classen1970,David Farley Classen,1970,thesis,"Thermal drilling and deep ice-temperature measurements on the Fox Glacier, Yukon",https://doi.org/10.14288/1.0302225,en,,,,,,,,,University of British Columbia
classen1977,D. F. Classen,1977,article-journal,Temperature profiles for the Barnes Ice Cap surge zone,https://doi.org/10.3189/S0022143000021079,en,Journal of Glaciology,18,80,391-405,,,,,
copland2003,Luke Copland | Martin J. Sharp | Peter Nienow | Robert G. Bingham,2003,article-journal,The distribution of basal motion beneath a High Arctic polythermal glacier,https://doi.org/10.3189/172756503781830511,en,Journal of Glaciology,49,166,407-414,,,,,
cryomap2023,Unknown,2023,dataset,cryomap: Firn Temperature database,,en,,,,,20230609,,,,"Eidgenössische Technische Hochschule (ETH) Zürich > Versuchsanstalt für Wasserbau, Hydrologie und Glaziologie (VAW)"
darms2009,Gian Andrea Darms,2009,thesis,Firntemperaturen auf dem Colle Gnifetti: Zusammenstellung und Analyse bestehender und neuer Temperaturprofile [Snow temperatures on Colle Gnifetti: Compilation and analysis of existing and new temperature profiles],https://uzb.swisscovery.slsp.ch/discovery/delivery/41SLSP_UZB:UZB/12464857880005508,de,,,,,,,,,Universität Zürich > Geographisches Institut
davaa2016,G. Davaa,2016,speech,Glacier monitoring in Mongolia,https://globalcryospherewatch.org/meetings/salekhard2016/presentations/3.1.3.e-G.Davaa-Mongolia%20cryospheric%20activities.pdf,en,Global Cryosphere Watch (GCW) 2nd Asia CryoNet Meeting,,,,,,,,
davis1967,Robert M. Davis,1967,report,"Approach roads, Greenland, 1960-1964",https://erdc-library.erdc.dren.mil/jspui/handle/11681/5708,en,,,,,,,,,U.S. Cold Regions Research and Engineering Laboratory (CRREL)
delcourt2013,Charlotte Delcourt | Brice Van Liefferinge | Matt Nolan | Frank Pattyn,2013,article-journal,The climate memory of an Arctic polythermal glacier,https://doi.org/10.3189/2013JoG12J109,en,Journal of Glaciology,59,218,1084-1092,,,,,
diez2013,Anja Diez | Olaf Eisen | Coen Hofstede | Pascal Bohleber | Ulrich Polom,2013,article-journal,Joint interpretation of explosive and vibroseismic surveys on cold firn for the investigation of ice properties,https://doi.org/10.3189/2013AoG64A200,en,Annals of Glaciology,54,64,201-210,,,,,Cambridge University Press
dikikh1965,А. Н. Диких [A. N. Dikikh],1965,chapter,температурном режиме ледников плоских вершин (на примере ледника Григорьева) [The temperature regime of flat-top glaciers (using Grigoriev Glacier as an example)],,ru,Работы Тянь-Шаньской физико-географической станции [Glaciological studies in the Tien Shan],,,32-35,,,Гляциологические исследования на Тянь-Шане [Works of the Tien Shan physical-geographical station],11,
du2013,Du Jiankuo | He Yuanqing | Li Shuang | Wang Shijin | Niu Hewen | Xin Huijuan | Pu Tao,2013,article-journal,Mass balance and near-surface ice temperature structure of Baishui Glacier No.1 in Mt. Yulong,https://doi.org/10.1007/s11442-013-1036-4,en,Journal of Geographical Sciences,23,4,668-678,,,,,
eisen2009,O. Eisen | A. Bauder | M. Lüthi | P. Riesen | M. Funk,2009,article-journal,"Deducing the thermal structure in the tongue of Gornergletscher, Switzerland, from radar surveys and borehole measurements",https://doi.org/10.3189/172756409789097612,en,Annals of Glaciology,50,51,63-70,,,,,
flowers2011,G. E. Flowers | N. Roux | S. Pimentel | C. G. Schoof,2011,article-journal,Present dynamics and future prognosis of a slowly surging glacier,https://doi.org/10.5194/tc-5-299-2011,en,The Cryosphere,5,1,299-313,,,,,Copernicus GmbH
flowers2022,Gwenn Flowers (0000-0002-3574-9324),2022,personal-communication,,,en,,,,,,,,,
fritzsche2002,Diedrich Fritzsche | Frank Wilhelms | Lev M. Savatyugin | Jean Francis Pinglot | Hanno Meyer | Hans-Wolfgang Hubberten | Heinz Miller,2002,article-journal,"A new deep ice core from Akademii Nauk Ice Cap, Severnaya Zemlya, Eurasian Arctic: first results",https://doi.org/10.3189/172756402781816645,en,Annals of Glaciology,35,,25-28,,,,,
