time,T10,T30,T130,T230
12-Aug-2017 12:00:00,0.25,0.17,0.01,-5.33
12-Aug-2017 13:00:00,0.36,0.21,-0.16,-6.95
12-Aug-2017 14:00:00,0.33,0.19,-0.69,-7.61
12-Aug-2017 15:00:00,0.27,0.15,-1.86,-7.95
12-Aug-2017 16:00:00,0.23,0.12,-3,-8.13
12-Aug-2017 17:00:00,0.24,0.13,-3.71,-8.25
12-Aug-2017 18:00:00,0.17,0.09,-4.05,-8.33
12-Aug-2017 19:00:00,0.18,0.09,-4.24,-8.39
12-Aug-2017 20:00:00,0.09,0.04,-4.39,-8.43
12-Aug-2017 21:00:00,0.07,0.04,-4.49,-8.46
12-Aug-2017 22:00:00,0.03,0.02,-4.58,-8.49
12-Aug-2017 23:00:00,0.01,0.02,-4.64,-8.51
13-Aug-2017 00:00:00,-0,-0.01,-4.68,-8.53
13-Aug-2017 01:00:00,0.01,-0.02,-4.73,-8.54
13-Aug-2017 02:00:00,0.01,-0.06,-4.75,-8.57
13-Aug-2017 03:00:00,-0.01,-0.07,-4.78,-8.57
13-Aug-2017 04:00:00,0.01,-0.07,-4.82,-8.57
13-Aug-2017 05:00:00,0.02,-0.08,-4.84,-8.57
13-Aug-2017 06:00:00,0.03,-0.09,-4.84,-8.57
13-Aug-2017 07:00:00,0.05,-0.12,-4.84,-8.57
13-Aug-2017 08:00:00,0.08,-0.13,-4.86,-8.58
13-Aug-2017 09:00:00,0.08,-0.15,-4.87,-8.59
13-Aug-2017 10:00:00,0.08,-0.18,-4.87,-8.6
13-Aug-2017 11:00:00,0.1,-0.2,-4.88,-8.59
13-Aug-2017 12:00:00,0.18,-0.18,-4.87,-8.59
13-Aug-2017 13:00:00,0.14,-0.22,-4.87,-8.61
13-Aug-2017 14:00:00,0.25,-0.21,-4.87,-8.58
13-Aug-2017 15:00:00,0.19,-0.26,-4.87,-8.59
13-Aug-2017 16:00:00,0.21,-0.28,-4.87,-8.6
13-Aug-2017 17:00:00,0.16,-0.31,-4.87,-8.58
13-Aug-2017 18:00:00,0.15,-0.35,-4.88,-8.58
13-Aug-2017 19:00:00,0.1,-0.45,-4.9,-8.57
13-Aug-2017 20:00:00,0.06,-0.54,-4.9,-8.57
13-Aug-2017 21:00:00,0.06,-0.6,-4.93,-8.57
13-Aug-2017 22:00:00,0.14,-0.68,-4.93,-8.58
13-Aug-2017 23:00:00,0.15,-0.73,-4.93,-8.57
